time,price,trade,amount
2017/11/3,3992.6979,12940443900.00 ,158142056585.00 
2017/11/2,3997.1343,12610057900.00 ,151981363640.00 
2017/11/1,3996.6221,13041738000.00 ,166477138571.00 
2017/10/31,4006.7179,10917877900.00 ,142897206949.00 
2017/10/30,4009.7218,15738760300.00 ,193489838439.00 
2017/10/27,4021.9676,12667284600.00 ,152974831071.00 
2017/10/26,3993.5752,12989546500.00 ,170488618586.00 
2017/10/25,3976.949,8820545800.00 ,106820309535.00 
2017/10/24,3959.3953,9305815400.00 ,120192150584.00 
2017/10/23,3930.7981,8148498000.00 ,100280911371.00 
2017/10/20,3926.852,7298018000.00 ,94529636639.40 
2017/10/19,3931.2495,10652725200.00 ,133189855169.00 
2017/10/18,3944.1626,10096984100.00 ,126420379660.00 
2017/10/17,3913.0688,8224122700.00 ,106708451684.00 
2017/10/16,3913.4462,12135503300.00 ,150823756592.00 
2017/10/13,3921.0017,9014206800.00 ,114314854703.00 
2017/10/12,3912.9536,9434092100.00 ,123147248618.00 
2017/10/11,3902.6868,10441815100.00 ,144152740056.00 
2017/10/10,3889.8637,11253258600.00 ,157979737603.00 
2017/10/9,3882.2076,13553585100.00 ,171941460832.00 
2017/9/29,3836.5013,9330602800.00 ,116056776566.00 
2017/9/28,3822.5386,9354406900.00 ,115646338522.00 
2017/9/27,3821.2,8565581100.00 ,109299492247.00 
2017/9/26,3820.7816,8186940700.00 ,101036334815.00 
2017/9/25,3817.7915,10394897600.00 ,135980239129.00 
2017/9/22,3837.7304,10061980200.00 ,128360894859.00 
2017/9/21,3837.8176,11109819200.00 ,144132893229.00 
2017/9/20,3842.4353,10112954200.00 ,135041882371.00 
2017/9/19,3832.1161,11243298700.00 ,145528457523.00 
2017/9/18,3843.1428,11793440500.00 ,152841028494.00 
2017/9/15,3831.2965,12242700600.00 ,153477215180.00 
2017/9/14,3829.9554,11535858300.00 ,143111639152.00 
2017/9/13,3842.6061,9541078500.00 ,126254360933.00 
2017/9/12,3837.9341,14419024200.00 ,187605312030.00 
2017/9/11,3825.6453,12388399700.00 ,154793900773.00 
2017/9/8,3825.9895,10603650400.00 ,134958583983.00 
2017/9/7,3829.8713,12388418100.00 ,156113397125.00 
2017/9/6,3849.4499,13139872300.00 ,155883314756.00 
2017/9/5,3857.0464,12496415500.00 ,145779755314.00 
2017/9/4,3845.6163,14956632000.00 ,175551068278.00 
2017/9/1,3830.5383,15864551100.00 ,182770431967.00 
2017/8/31,3822.0928,13294493500.00 ,157079216083.00 
2017/8/30,3834.3005,14135285700.00 ,166235122004.00 
